Date,SP500,Gold,Oil
2025-03-10,5614.56005859375,2891.0,66.02999877929688
2025-03-11,5572.06982421875,2912.89990234375,66.25
2025-03-12,5599.2998046875,2939.10009765625,67.68000030517578
2025-03-13,5521.52001953125,2984.300048828125,66.55000305175781
2025-03-14,5638.93994140625,2994.5,67.18000030517578
2025-03-17,5675.1201171875,3000.0,67.58000183105469
2025-03-18,5614.66015625,3035.10009765625,66.9000015258789
2025-03-19,5675.2900390625,3035.89990234375,67.16000366210938
2025-03-20,5662.89013671875,3040.0,68.26000213623047
2025-03-21,5667.56005859375,3018.199951171875,68.27999877929688
2025-03-24,5767.56982421875,3013.10009765625,69.11000061035156
2025-03-25,5776.64990234375,3023.699951171875,69.0
2025-03-26,5712.2001953125,3020.89990234375,69.6500015258789
2025-03-27,5693.31005859375,3060.199951171875,69.91999816894531
2025-03-28,5580.93994140625,3086.5,69.36000061035156
2025-03-31,5611.85009765625,3122.800048828125,71.4800033569336
2025-04-01,5633.06982421875,3118.89990234375,71.19999694824219
2025-04-02,5670.97021484375,3139.89990234375,71.70999908447266
2025-04-03,5396.52001953125,3097.0,66.94999694824219
2025-04-04,5074.080078125,3012.0,61.9900016784668
2025-04-07,5062.25,2951.300048828125,60.70000076293945
2025-04-08,4982.77001953125,2968.39990234375,59.58000183105469
2025-04-09,5456.89990234375,3056.5,62.349998474121094
2025-04-10,5268.0498046875,3155.199951171875,60.06999969482422
2025-04-11,5363.35986328125,3222.199951171875,61.5
2025-04-14,5405.97021484375,3204.800048828125,61.529998779296875
2025-04-15,5396.6298828125,3218.699951171875,61.33000183105469
2025-04-16,5275.7001953125,3326.60009765625,62.470001220703125
2025-04-17,5282.7001953125,3308.699951171875,64.68000030517578
2025-04-21,5158.2001953125,3406.199951171875,63.08000183105469
2025-04-22,5287.759765625,3400.800048828125,64.30999755859375
2025-04-23,5375.85986328125,3276.300048828125,62.27000045776367
2025-04-24,5484.77001953125,3332.0,62.790000915527344
2025-04-25,5525.2099609375,3282.39990234375,63.02000045776367
2025-04-28,5528.75,3332.5,62.04999923706055
2025-04-29,5560.830078125,3318.800048828125,60.41999816894531
2025-04-30,5569.06005859375,3305.0,58.209999084472656
2025-05-01,5604.14013671875,3210.0,59.2400016784668
2025-05-02,5686.669921875,3231.89990234375,58.290000915527344
2025-05-05,5650.3798828125,3311.300048828125,57.130001068115234
2025-05-06,5606.91015625,3411.39990234375,59.09000015258789
2025-05-07,5631.27978515625,3381.39990234375,58.06999969482422
2025-05-08,5663.93994140625,3296.60009765625,59.90999984741211
2025-05-09,5659.91015625,3335.39990234375,61.02000045776367
2025-05-12,5844.18994140625,3220.0,61.95000076293945
2025-05-13,5886.5498046875,3240.300048828125,63.66999816894531
2025-05-14,5892.580078125,3181.39990234375,63.150001525878906
2025-05-15,5916.93017578125,3220.699951171875,61.619998931884766
2025-05-16,5958.3798828125,3182.0,62.4900016784668
2025-05-19,5963.60009765625,3228.89990234375,62.689998626708984
2025-05-20,5940.4599609375,3280.300048828125,62.560001373291016
2025-05-21,5844.60986328125,3309.300048828125,61.56999969482422
2025-05-22,5842.009765625,3292.300048828125,61.20000076293945
2025-05-23,5802.81982421875,3363.60009765625,61.529998779296875
2025-05-27,5921.5400390625,3299.10009765625,60.88999938964844
2025-05-28,5888.5498046875,3293.60009765625,61.84000015258789
2025-05-29,5912.169921875,3317.10009765625,60.939998626708984
2025-05-30,5911.68994140625,3288.89990234375,60.790000915527344
2025-06-02,5935.93994140625,3370.60009765625,62.52000045776367
2025-06-03,5970.3701171875,3350.199951171875,63.40999984741211
2025-06-04,5970.81005859375,3373.5,62.849998474121094
2025-06-05,5939.2998046875,3350.699951171875,63.369998931884766
2025-06-06,6000.35986328125,3322.699951171875,64.58000183105469
2025-06-09,6005.8798828125,3332.10009765625,65.29000091552734
2025-06-10,6038.81005859375,3320.89990234375,64.9800033569336
2025-06-11,6022.240234375,3321.300048828125,68.1500015258789
2025-06-12,6045.259765625,3380.89990234375,68.04000091552734
2025-06-13,5976.97021484375,3431.199951171875,72.9800033569336
2025-06-16,6033.10986328125,3396.39990234375,71.7699966430664
2025-06-17,5982.72021484375,3386.60009765625,74.83999633789062
2025-06-18,5980.8701171875,3389.800048828125,75.13999938964844
2025-06-20,5967.83984375,3368.10009765625,74.93000030517578
2025-06-23,6025.169921875,3377.699951171875,68.51000213623047
2025-06-24,6092.18017578125,3317.39990234375,64.37000274658203
2025-06-25,6092.16015625,3327.10009765625,64.91999816894531
2025-06-26,6141.02001953125,3333.5,65.23999786376953
2025-06-27,6173.06982421875,3273.699951171875,65.5199966430664
2025-06-30,6204.9501953125,3294.39990234375,65.11000061035156
2025-07-01,6198.009765625,3336.699951171875,65.44999694824219
2025-07-02,6227.419921875,3348.0,67.44999694824219
2025-07-03,6279.35009765625,3331.60009765625,67.0
2025-07-07,6229.97998046875,3332.199951171875,67.93000030517578
2025-07-08,6225.52001953125,3307.0,68.33000183105469
2025-07-09,6263.259765625,3311.60009765625,68.37999725341797
2025-07-10,6280.4599609375,3317.39990234375,66.56999969482422
2025-07-11,6259.75,3356.0,68.44999694824219
2025-07-14,6268.56005859375,3351.5,66.9800033569336
2025-07-15,6243.759765625,3329.800048828125,66.5199966430664
2025-07-16,6263.7001953125,3352.5,66.37999725341797
2025-07-17,6297.35986328125,3340.10009765625,67.54000091552734
2025-07-18,6296.7900390625,3353.0,67.33999633789062
2025-07-21,6305.60009765625,3401.89990234375,67.19999694824219
2025-07-22,6309.6201171875,3439.199951171875,66.20999908447266
2025-07-23,6358.91015625,3394.10009765625,65.25
2025-07-24,6363.35009765625,3371.0,66.02999877929688
2025-07-25,6388.64013671875,3334.0,65.16000366210938
2025-07-28,6389.77001953125,3309.10009765625,66.70999908447266
2025-07-29,6370.85986328125,3323.39990234375,69.20999908447266
2025-07-30,6362.89990234375,3295.800048828125,70.0
2025-07-31,6339.39013671875,3293.199951171875,69.26000213623047
2025-08-01,6238.009765625,3347.699951171875,67.33000183105469
2025-08-04,6329.93994140625,3374.39990234375,66.29000091552734
2025-08-05,6299.18994140625,3381.89990234375,65.16000366210938
2025-08-06,6345.06005859375,3380.0,64.3499984741211
2025-08-07,6340.0,3400.300048828125,63.880001068115234
2025-08-08,6389.4501953125,3439.10009765625,63.880001068115234
2025-08-11,6373.4501953125,3353.10009765625,63.959999084472656
2025-08-12,6445.759765625,3348.89990234375,63.16999816894531
2025-08-13,6466.580078125,3358.699951171875,62.650001525878906
2025-08-14,6468.5400390625,3335.199951171875,63.959999084472656
2025-08-15,6449.7998046875,3336.0,62.79999923706055
2025-08-18,6449.14990234375,3331.699951171875,63.41999816894531
2025-08-19,6411.3701171875,3313.39990234375,62.349998474121094
2025-08-20,6395.77978515625,3343.39990234375,63.209999084472656
2025-08-21,6370.169921875,3336.89990234375,63.52000045776367
2025-08-22,6466.91015625,3374.39990234375,63.65999984741211
2025-08-25,6439.31982421875,3373.800048828125,64.80000305175781
2025-08-26,6465.93994140625,3388.60009765625,63.25
2025-08-27,6481.39990234375,3404.60009765625,64.1500015258789
2025-08-28,6501.85986328125,3431.800048828125,64.5999984741211
2025-08-29,6460.259765625,3473.699951171875,64.01000213623047
2025-09-02,6415.5400390625,3549.39990234375,65.58999633789062
2025-09-03,6448.259765625,3593.199951171875,63.970001220703125
2025-09-04,6502.080078125,3565.800048828125,63.47999954223633
2025-09-05,6481.5,3613.199951171875,61.869998931884766
2025-09-08,6495.14990234375,3638.10009765625,62.2599983215332
2025-09-09,6512.60986328125,3643.300048828125,62.630001068115234
2025-09-10,6532.0400390625,3643.60009765625,63.66999816894531
2025-09-11,6587.47021484375,3636.89990234375,62.369998931884766
2025-09-12,6584.2900390625,3649.39990234375,62.689998626708984
2025-09-15,6615.27978515625,3682.199951171875,63.29999923706055
2025-09-16,6606.759765625,3688.89990234375,64.5199966430664
2025-09-17,6600.35009765625,3681.800048828125,64.05000305175781
2025-09-18,6631.9599609375,3643.699951171875,63.56999969482422
2025-09-19,6664.35986328125,3671.5,62.68000030517578
2025-09-22,6693.75,3740.699951171875,62.63999938964844
2025-09-23,6656.919921875,3780.60009765625,63.40999984741211
2025-09-24,6637.97021484375,3732.10009765625,64.98999786376953
2025-09-25,6604.72021484375,3736.89990234375,64.9800033569336
2025-09-26,6643.7001953125,3775.300048828125,65.72000122070312
2025-09-29,6661.2099609375,3820.89990234375,63.45000076293945
2025-09-30,6688.4599609375,3840.800048828125,62.369998931884766
2025-10-01,6711.2001953125,3867.5,61.779998779296875
2025-10-02,6715.35009765625,3839.699951171875,60.47999954223633
2025-10-03,6715.7900390625,3880.800048828125,60.880001068115234
2025-10-06,6740.27978515625,3948.5,61.689998626708984
2025-10-07,6714.58984375,3976.60009765625,61.72999954223633
2025-10-08,6753.72021484375,4043.300048828125,62.54999923706055
2025-10-09,6735.10986328125,3946.300048828125,61.5099983215332
2025-10-10,6552.509765625,3975.89990234375,58.900001525878906
2025-10-13,6654.72021484375,4108.60009765625,59.4900016784668
2025-10-14,6644.31005859375,4138.7001953125,58.70000076293945
2025-10-15,6671.06005859375,4176.89990234375,58.27000045776367
2025-10-16,6629.06982421875,4280.2001953125,57.459999084472656
2025-10-17,6664.009765625,4189.89990234375,57.540000915527344
2025-10-20,6735.1298828125,4336.39990234375,57.52000045776367
2025-10-21,6735.35009765625,4087.699951171875,57.81999969482422
2025-10-22,6699.39990234375,4044.39990234375,58.5
2025-10-23,6738.43994140625,4125.5,61.790000915527344
2025-10-24,6791.68994140625,4118.39990234375,61.5
2025-10-27,6875.16015625,4001.89990234375,61.310001373291016
2025-10-28,6890.89013671875,3966.199951171875,60.150001525878906
2025-10-29,6890.58984375,3983.699951171875,60.47999954223633
2025-10-30,6822.33984375,4001.300048828125,60.56999969482422
2025-10-31,6840.2001953125,3982.199951171875,60.97999954223633
2025-11-03,6851.97021484375,4000.300048828125,61.04999923706055
2025-11-04,6771.5498046875,3947.699951171875,60.560001373291016
2025-11-05,6796.2900390625,3980.300048828125,59.599998474121094
2025-11-06,6720.31982421875,3979.89990234375,59.43000030517578
2025-11-07,6728.7998046875,3999.39990234375,59.75
2025-11-10,6832.43017578125,4111.7998046875,60.130001068115234
2025-11-11,6846.60986328125,4106.7998046875,61.040000915527344
2025-11-12,6850.919921875,4204.39990234375,58.4900016784668
2025-11-13,6737.490234375,4186.89990234375,58.689998626708984
2025-11-14,6734.10986328125,4087.60009765625,60.09000015258789
2025-11-17,6672.41015625,4068.300048828125,59.90999984741211
2025-11-18,6617.31982421875,4061.300048828125,60.7400016784668
2025-11-19,6642.16015625,4077.699951171875,59.439998626708984
2025-11-20,6538.759765625,4056.5,59.13999938964844
2025-11-21,6602.990234375,4076.699951171875,58.060001373291016
2025-11-24,6705.1201171875,4091.89990234375,58.84000015258789
2025-11-25,6765.8798828125,4139.2001953125,57.95000076293945
2025-11-26,6812.60986328125,4165.2001953125,58.650001525878906
2025-11-28,6849.08984375,4218.2998046875,58.54999923706055
2025-12-01,6812.6298828125,4239.2998046875,59.31999969482422
2025-12-02,6829.3701171875,4186.60009765625,58.63999938964844
2025-12-03,6849.72021484375,4199.2998046875,58.95000076293945
2025-12-04,6857.1201171875,4211.7998046875,59.66999816894531
2025-12-05,6870.39990234375,4212.89990234375,60.08000183105469
2025-12-08,6846.509765625,4187.2001953125,58.880001068115234
2025-12-09,6840.509765625,4206.7001953125,58.25
2025-12-10,6886.68017578125,4196.39990234375,58.459999084472656
2025-12-11,6901.0,4285.5,57.599998474121094
2025-12-12,6827.41015625,4300.10009765625,57.439998626708984
2025-12-15,6816.509765625,4306.7001953125,56.81999969482422
2025-12-16,6800.259765625,4304.5,55.27000045776367
2025-12-17,6721.43017578125,4347.5,55.939998626708984
2025-12-18,6774.759765625,4339.5,56.150001525878906
2025-12-19,6834.5,4361.39990234375,56.65999984741211
2025-12-22,6878.490234375,4444.60009765625,58.0099983215332
2025-12-23,6909.7900390625,4482.7998046875,58.380001068115234
2025-12-24,6932.0498046875,4480.60009765625,58.349998474121094
2025-12-26,6929.93994140625,4529.10009765625,56.7400016784668
2025-12-29,6905.740234375,4325.10009765625,58.08000183105469
2025-12-30,6896.240234375,4370.10009765625,57.95000076293945
2025-12-31,6845.5,4325.60009765625,57.41999816894531
2026-01-02,6858.47021484375,4314.39990234375,57.31999969482422
2026-01-05,6902.0498046875,4436.89990234375,58.31999969482422
2026-01-06,6944.81982421875,4482.2001953125,57.130001068115234
2026-01-07,6920.93017578125,4449.2998046875,55.9900016784668
2026-01-08,6921.4599609375,4449.7001953125,57.7599983215332
2026-01-09,6966.27978515625,4490.2998046875,59.119998931884766
2026-01-12,6977.27001953125,4604.2998046875,59.5
2026-01-13,6963.740234375,4589.2001953125,61.150001525878906
2026-01-14,6926.60009765625,4626.2998046875,62.02000045776367
2026-01-15,6944.47021484375,4616.2998046875,59.189998626708984
2026-01-16,6940.009765625,4588.39990234375,59.439998626708984
2026-01-20,6796.85986328125,4759.60009765625,60.34000015258789
2026-01-21,6875.6201171875,4831.7998046875,60.619998931884766
2026-01-22,6913.35009765625,4908.7998046875,59.36000061035156
2026-01-23,6915.60986328125,4976.2001953125,61.06999969482422
2026-01-26,6950.22998046875,5079.7001953125,60.630001068115234
2026-01-27,6978.60009765625,5079.89990234375,62.38999938964844
2026-01-28,6978.02978515625,5301.60009765625,63.209999084472656
2026-01-29,6969.009765625,5318.39990234375,65.41999816894531
2026-01-30,6939.02978515625,4713.89990234375,65.20999908447266
2026-02-02,6976.43994140625,4622.5,62.13999938964844
2026-02-03,6917.81005859375,4903.7001953125,63.209999084472656
2026-02-04,6882.72021484375,4920.39990234375,65.13999938964844
2026-02-05,6798.39990234375,4861.39990234375,63.290000915527344
2026-02-06,6932.2998046875,4951.2001953125,63.54999923706055
2026-02-09,6964.81982421875,5050.89990234375,64.36000061035156
2026-02-10,6941.81005859375,5003.7998046875,63.959999084472656
2026-02-11,6941.47021484375,5071.60009765625,64.62999725341797
2026-02-12,6832.759765625,4923.7001953125,62.84000015258789
2026-02-13,6836.169921875,5022.0,62.88999938964844
2026-02-17,6843.22021484375,4882.89990234375,62.33000183105469
2026-02-18,6881.31005859375,4986.5,65.19000244140625
2026-02-19,6861.89013671875,4975.89990234375,66.43000030517578
2026-02-20,6909.509765625,5059.2998046875,66.38999938964844
2026-02-23,6837.75,5204.7001953125,66.30999755859375
2026-02-24,6890.06982421875,5155.7998046875,65.62999725341797
2026-02-25,6946.1298828125,5206.39990234375,65.41999816894531
2026-02-26,6908.85986328125,5176.5,65.20999908447266
2026-02-27,6878.8798828125,5230.5,67.0199966430664
2026-03-02,6881.6201171875,5294.39990234375,71.2300033569336
2026-03-03,6816.6298828125,5107.39990234375,74.55999755859375
2026-03-04,6869.5,5120.2001953125,74.66000366210938
2026-03-05,6830.7099609375,5065.2998046875,81.01000213623047
2026-03-06,6740.02001953125,5146.10009765625,90.9000015258789
2026-03-09,6795.990234375,5091.5,94.7699966430664
2026-03-10,6844.240234375,5234.2998046875,77.77999877929688
